group,mouse_id,day,fmt_donor_recipient,fmt_donor_id,donor_number,sex,mouse_genotype.x,sample_type.x,treatment,treatment_no_cd,treatment_fmt_only,exp_id_number,experiment,sample_date.x,cdiff_cfu,pos_d1_cdiff,ever_pos_cdiff,lipocalin_2
1231.f.d7,1231,7,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1231.f.d5,1231,5,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1231.f.d3,1231,3,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1231.f.d2,1231,2,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1231.f.d1,1231,1,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1231.f.d0,1231,0,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,1376.5
1231.dn1,1231,-1,donor,1231,2,M ,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1231.inoc,1231,-1,donor,1231,2,M ,il10,inoculum,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,2.28.2021,0,NA,no,
1231.f.dn7,1231,-7,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1231.f.dn14,1231,-14,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,no,NA
1231.f.dn21,1231,-21,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1231.f.dn28,1231,-28,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1231.f.dn35,1231,-35,donor,1231,2,M,il10,feces,HhWT + VPI spores + control mAb,Hh+control,Isotype FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1240.cec,1240,9,donor,1240,2,F,il10,cecal.contents,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,0,no,no,NA
1240.col,1240,9,donor,1240,2,F,il10,colon.contents,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210310,NA,no,no,NA
1240.f.d7,1240,7,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210308,0,no,no,NA
1240.f.d5,1240,5,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210306,0,no,no,NA
1240.f.d3,1240,3,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210304,0,no,no,NA
1240.f.d2,1240,2,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210303,0,no,no,NA
1240.f.d1,1240,1,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210203,0,no,no,NA
1240.f.d0,1240,0,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210103,NA,no,no,4.8
1240.dn1,1240,-1,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No_treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,NA,no,
1240.inoc,1240,-1,donor,1240,2,F,il10,inoculum,No_treatment_controls (sterile broth + water + mAb vehicle),No_treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,NA,no,
1240.f.dn7,1240,-7,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212202,NA,no,no,NA
1240.f.dn14,1240,-14,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20211502,NA,no,yes,NA
1240.f.dn21,1240,-21,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210802,NA,no,no,NA
1240.f.dn28,1240,-28,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20210102,NA,no,no,NA
1240.f.dn35,1240,-35,donor,1240,2,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,20212501,NA,no,no,NA
1289.cec,1289,9,donor,1289,1,F,il10,cecal.contents,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,0,no,no,NA
1289.col,1289,9,donor,1289,1,F,il10,colon.contents,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,NA,no,no,NA
1289.d7,1289,7,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211705,0,no,no,NA
1289.d5,1289,5,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211505,0,no,no,NA
1289.d3,1289,3,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211305,0,no,no,NA
1289.d2,1289,2,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,0,no,no,NA
1289.d1,1289,1,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,0,no,no,NA
1289.d0,1289,0,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211005,NA,no,no,NA
1289.dn1,1289,-1,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,no,
1289.inoc,1289,-1,donor,1289,1,F,il10,inoculum,No_treatment_controls (sterile broth + water + mAb vehicle),,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,no,
1289.dn21,1289,-21,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211904,NA,no,no,NA
1289.dn35,1289,-35,donor,1289,1,F,il10,feces,No_treatment_controls (sterile broth + water + mAb vehicle),No treatment,No_treatment,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210504,NA,no,no,8.1
1303.cec,1303,9,donor,1303,2,M,il10,cecal.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,0,no,no,NA
1303.col,1303,9,donor,1303,2,M,il10,colon.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,NA,no,NA,NA
1303.d7,1303,7,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211705,0,no,no,NA
1303.d5,1303,5,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211505,0,no,no,NA
1303.d3,1303,3,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211305,0,no,no,NA
1303.d2,1303,2,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,0,no,no,NA
1303.d1,1303,1,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,0,no,no,NA
1303.d0,1303,0,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211005,NA,no,no,166.2
1303.dn21,1303,-21,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211904,NA,no,no,854.4
1303.dn35,1303,-35,donor,1303,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210504,NA,no,no,NA
1303.dn1,1303,-1,donor,1303,2,M ,il10,feces,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,5.9.2021,0,,no,
1303.inoc,1303,-1,donor,1303,2,M ,il10,inoculum,HhWT + VPI spores + anti-p40 ,Hh+p40,Anti-p40 FMT(R)+ VPI spores,p40_1,IL10_mice_HhWT_antip40_Exp_1_012521,5.9.2021,0,,no,
1305.cec,1305,9,donor,1305,1,F,il10,cecal.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,7900000,NA,no,NA
1305.col,1305,9,donor,1305,1,F,il10,colon.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,NA,NA,NA,NA
1305.d7,1305,7,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211705,6300000,NA,yes,NA
1305.d5,1305,5,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211505,3100000,NA,yes,NA
1305.d3,1305,3,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211305,2020000,NA,yes,NA
1305.d2,1305,2,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,1030000,NA,yes,NA
1305.d0,1305,0,donor,1305,1,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211005,NA,NA,yes,440.1074114
1305.dn1,1305,-1,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,yes,
1305.inoc,1305,-1,donor,1305,1,F,il10,inoculum,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,yes,
1305.dn21,1305,-21,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211904,NA,NA,yes,2141.7
1305.dn35,1305,-35,donor,1305,1,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210504,NA,yes,yes,11.8
1306.cec,1306,9,donor,1306,2,F,il10,cecal.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,1400000,yes,no,NA
1306.col,1306,9,donor,1306,2,F,il10,colon.contents,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211905,NA,yes,NA,NA
1306.d7,1306,7,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211705,3100000,yes,yes,NA
1306.d5,1306,5,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211505,8100000,yes,yes,NA
1306.d3,1306,3,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211305,10000,yes,yes,NA
1306.d2,1306,2,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,7700000,yes,yes,NA
1306.d1,1306,1,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211205,720000,yes,yes,NA
1306.d0,1306,0,donor,1306,2,M,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20211005,NA,yes,yes,2574.973147
1306.dn1,1306,-1,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,yes,
1306.inoc,1306,-1,donor,1306,2,F,il10,inoculum,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,5.9.2021,NA,,yes,
1306.dn35,1306,-35,donor,1306,2,F,il10,feces,HhWT + VPI spores +  anti-p40 mAb,Hh+p40,Anti-p40 FMT(S)+ VPI spores,p40_2,IL10_mice_HhWT_antip40_Exp_2_032921,20210504,NA,yes,yes,13.9
